id,strLocation,latitude,longitude,city,state,zip
29862-254944,Lower Azusa Rd & Ellis Lane,34.089701,-118.054096,El Monte,CA,91731
74659-94830,Vons-Monrovia #2200,34.150117,-118.00174,Monrovia,CA,91016
5593-1450,Foothill & Myrtle - Monrovia,34.151145,-118.002447,Monrovia,CA,91016
24175-235449,Target Duarte T-302,34.13779,-117.982958,Duarte,CA,91010
17415-158784,"Santa Anita & Valley, El Monte",34.076974,-118.03983,El Monte,CA,91731
5473-244109,Huntington Drive & Buena Vista,34.139818,-117.977754,Duarte,CA,91010
15831-152239,Longo Toyota-El Monte,34.071681,-118.024907,El Monte,CA,91731
20075-198884,City of Hope,34.129518,-117.971164,Duarte,CA,91010
48425-262064,Valley & Rio Hondo,34.081363,-118.064376,Rosemead,CA,91770
8749-94565,"Valley & Garvey, El Monte",34.063158,-118.01938,El Monte,CA,91732
47697-257764,Santa Anita & Garvey,34.06292,-118.042307,El Monte,CA,91733
21249-210126,Target Rosemead T-1411,34.074556,-118.070002,Rosemead,CA,91770
6713-76480,"Flair & Aerojet, El Monte",34.0716,-118.068059,El Monte,CA,91731
5976-43199,"Rosemead & The 10 Fwy, Rosemead",34.074829,-118.072703,Rosemead,CA,91770
6911-84582,Baldwin Park & Francisquito,34.070629,-117.978894,Baldwin Park,CA,91706
25255-186787,Kaiser Permanente @ Baldwin Park,34.064702,-117.986578,Baldwin Park,CA,91706
47131-256288,Target Baldwinpark T-1033,34.069442,-117.977086,Baldwin Park,CA,91706
9326-95961,"Puente & Francisquito, Baldwin Park",34.064673,-117.96761,Baldwin Park,CA,91706
54318-285611,SHERATON SAN GABRIEL - LS,34.080046,-118.097293,SAN GABRIEL,CA,91776
5880-32099,"Puente & The 10 Fwy, Baldwin Park",34.071223,-117.958942,Baldwin Park,CA,91706
3419-93205,"Arrow Hwy & 4th, Irwindale",34.106573,-117.938351,Irwindale,CA,91706
27215-245385,Durfee & Thienes,34.043002,-118.032469,South El Monte,CA,91733
6651-74906,"San Gabriel & Garvey, Rosemead",34.062997,-118.089994,Rosemead,CA,91770
28901-250604,Foothill & Todd,34.133381,-117.926379,Azusa,CA,91702
9385-96258,"Valley & Almansor, Alhambra",34.078844,-118.114595,Alhambra,CA,91801
23645-231368,Crossroads & 60 Fwy,34.030634,-118.00872,City of Industry,CA,91746
5380-673,Main & 1st - Alhambra,34.094744,-118.128132,Alhambra,CA,91801
76365-97162,Target Alhambra T-184,34.091465,-118.13624,Alhambra,CA,91801
47590-258972,Albertsons - Tujunga #3175,34.240693,-118.268048,Tujunga,CA,91042
20827-185184,Ralphs Glendale #97,34.164417,-118.256388,Glendale,CA,91202
14152-113347,Stocker & Pacific,34.163372,-118.264786,Glendale,CA,91202
5814-15013,"Pacific & Burchett, Glendale",34.157463,-118.264385,Glendale,CA,91203
520-464,Glendale,34.146987,-118.254783,Glendale,CA,91203
76784-111370,Target Glendale T-2307,34.14359,-118.258064,Glendale,CA,91204
6814-81120,"Glenoaks & Western, Glendale",34.171748,-118.289455,Glendale,CA,91201
13286-106226,"Eagle Rock & York, Eagle Rock",34.123724,-118.219561,Los Angeles,CA,90041
75385-104362,Compass @ Disney GC3,34.160615,-118.286041,Glendale,CA,91201
17878-171164,Compass @ Walt Disney Imagineering,34.162044,-118.289159,Glendale,CA,91201
52041-279765,TARGET EAGLE ROCK SOUTH T-3262,34.122715,-118.225316,Eagle Rock South,CA,90065
11894-105944,"Central & Acacia, Glendale",34.135006,-118.258098,Glendale,CA,91204
5708-8027,Alameda & San Fernando,34.174582,-118.300705,Burbank,CA,91502
79602-106070,Vons - Glendale #2254,34.129386,-118.258654,GLENDALE,CA,91204
74887-99591,Vons - Tujunga #2124,34.259272,-118.301617,Tujunga,CA,91042
24874-238884,Central Ave & San Fernando Rd,34.127014,-118.257896,Glendale,CA,91204
607-322,Downtown Burbank,34.182518,-118.310715,Burbank,CA,91502
5793-8030,Los Feliz & Seneca,34.126474,-118.263433,Los Angeles,CA,90039
8179-154015,Target Azusa T-2627,34.13567,-117.907499,Azusa,CA,91702
9824-98054,"Foothill & Azusa, Azusa",34.133188,-117.907892,Azusa,CA,91702
6447-244769,Citrus & Alosta,34.1285,-117.890486,Azusa,CA,91702
54716-278730,Azusa Pacific University-East Campu,34.13039,-117.888497,AZUSA,CA,91702
5424-231365,Grand & Foothill,34.136209,-117.870742,Glendora,CA,91741
25057-238336,Citrus & Arrow,34.106475,-117.889885,Covina,CA,91702
29985-254685,Route 66 & Vermont,34.128552,-117.866416,Glendora,CA,91740
73523-36440,Albertsons-Glendora #0601,34.128663,-117.864773,Glendora,CA,91740
74624-94035,Vons-Glendora #2169,34.136234,-117.86082,Glendora,CA,91741
23741-228807,Azusa and Badillo,34.087072,-117.908159,Covina,CA,91722
9685-97224,"Citrus & College, Covina",34.087327,-117.89046,Covina,CA,91723
8747-240837,Grand & Cypress,34.095926,-117.872269,Covina,CA,91724
5583-231345,Citrus & Rowland,34.078635,-117.890557,Covina,CA,91723
6744-77941,Vincent & West Covina Pkwy,34.068345,-117.927239,West Covina,CA,91790
76509-99294,Target West Covina T-1028,34.073035,-117.885376,West Covina,CA,91791
9548-96260,Route 66 & Lone Hill,34.128536,-117.83023,Glendora,CA,91740
11031-95816,"Barranca & I-10, West Covina",34.072436,-117.881852,West Covina,CA,91791
5317-861,San Dimas,34.106436,-117.826072,San Dimas,CA,91773
76658-99293,Target San Dimas T-767,34.104018,-117.823645,San Dimas,CA,91773
23260-228804,Hacienda and Fairgrove,34.044449,-117.949555,La Puente,CA,91744
9746-95803,"San Fernando & Walnut, Burbank",34.186849,-118.317872,Burbank,CA,91504
10802-102285,"Glenoaks & Keeler, Burbank",34.19864,-118.327091,Burbank,CA,91504
5870-27267,Victory & Empire,34.191495,-118.328926,Burbank,CA,91502
6915-197405,8241 Foothill Blvd.,34.259917,-118.313059,Sunland,CA,91040
15581-142093,Target Burbank T-1362,34.191654,-118.32995,Burbank,CA,91504
569-511,Alameda & Shelton,34.162565,-118.314589,Burbank,CA,91506
74660-25867,Vons-Burbank #2214,34.162446,-118.314526,Burbank,CA,91506
19692-201264,Verdugo & Olive,34.168004,-118.321947,Burbank,CA,91506
26998-245235,Ralphs Burbank #648,34.184123,-118.339378,Burbank,CA,91505
27925-248184,Disney Riverside,34.154956,-118.324153,Burbank,CA,91506
47400-253893,Providence Saint Joseph Burbank,34.157663,-118.328337,Burbank,CA,91505
10940-102763,Glendale & Glenfeliz,34.116447,-118.262941,Los Angeles,CA,90039
10801-101907,Hollywood Way & Airport Access,34.195027,-118.350188,Burbank,CA,91505
73671-93060,Albertsons-Palmdale #1333,34.585592,-118.149037,Palmdale,CA,93551
9739-96736,Palmdale Blvd & 3rd,34.579537,-118.125038,Palmdale,CA,93550
74585-83082,Vons-Palmdale #3017,34.602873,-118.184338,Palmdale,CA,93551
23531-196824,Rancho Vista & Town Center,34.613014,-118.199657,Palmdale,CA,93551
5924-40339,Rancho Vista & Lowes Drive,34.601204,-118.143415,Palmdale,CA,93551
70331-90574,Target Santa Clarita T-2030,34.4482,-118.4214,Santa Clarita,CA,91387
8823-94943,10th St West & West Ave O-8,34.607218,-118.147264,Palmdale,CA,93551
53437-283964,Palmdale & 20th St E,34.580004,-118.096389,Palmdale,CA,93550
20489-206264,Sand Canyon & 14 Fwy,34.426662,-118.425256,Santa Clarita,CA,91387
19885-173855,Vons-Santa Clarita #3138,34.426728,-118.425832,Santa Clarita,CA,91387
10111-99529,East Ave S & 47th St East,34.558628,-118.046611,Palmdale,CA,93552
25204-236912,47th Street East & Palmdale Blvd,34.575825,-118.045475,Palmdale,CA,93552
76818-111371,Target Palmdale East ST-2350,34.577765,-118.044394,Palmdale,CA,93552
6711-40579,Via Princessa & Sierra Highway,34.406105,-118.466075,Santa Clarita,CA,91321
74623-93726,Vons-Lancaster #2029,34.661522,-118.20234,Lancaster,CA,93536
5498-1420,Soledad Canyon & Whites Canyon,34.41593,-118.474837,Canyon Country,CA,91351
50216-271955,Albertsons - Lancaster #1322,34.672938,-118.165796,Lancaster,CA,93536
6982-88600,Ave K & 20th St. West,34.67474,-118.167937,Lancaster,CA,93536
56918-290644,Target - Lancaster T-0245,34.673679,-118.147916,Lancaster,CA,93534
19566-174784,Avenue K & 10th Street West,34.675064,-118.147649,Lancaster,CA,93534
25059-221464,Foothill & Hubbard,34.308674,-118.431383,Sylmar,CA,91342
20227-204225,Golden Valley & Soledad Canyon,34.418389,-118.502972,Santa Clarita,CA,91350
10144-98951,Bouquet Canyon & Haskell Canyon,34.443365,-118.510597,Saugus,CA,91350
73603-80601,Albertsons - Santa Clarit #1360,34.443213,-118.511436,Saugus,CA,91350
6984-85681,Challenger Way & East Ave K,34.675299,-118.114351,Lancaster,CA,93535
23285-226124,Valley Central & West Ave J,34.691343,-118.172148,Lancaster,CA,93536
50527-273484,Lancaster & Gadsden,34.697637,-118.145971,Lancaster,CA,93534
5915-34639,Truman & Maclay,34.284606,-118.44165,San Fernando,CA,91340
13220-107230,Avenue I & 20th St West,34.704321,-118.165036,Lancaster,CA,93534
5942-45259,Copper Hill & Seco Canyon,34.459827,-118.534052,Santa Clarita,CA,91350
10182-99743,Newall & Carl Ct,34.372046,-118.516323,Santa Clarita,CA,91321
47586-258975,VONS - Saugus #3325,34.426942,-118.535224,Saugus,CA,91350
6572-255995,Newhall Ranch & Bouquet Canyon,34.426543,-118.537179,Santa Clarita,CA,91354
27293-245024,Sunland & I-5,34.221153,-118.367015,Sun Valley,CA,91352
57751-291783,TARGET PACOIMA T-0183,34.245446,-118.419236,Pacoima,CA,91331
5305-457,McBean & Decoro,34.445238,-118.55164,Valencia,CA,91354
53506-257451,Ralphs Valencia #147,34.445329,-118.553292,Valencia,CA,91354
5789-242449,Orchard Village & Lyons,34.380022,-118.542096,Santa Clarita,CA,91355
562-289033,McBean Pkwy & Arroyo Pk,34.404529,-118.55111,Valencia,CA,91355
47671-258708,Albertsons - Alhambras 2543,34.086317,-118.149934,Alhambra,CA,91803
6794-41839,Fremont Ave & Mission Rd,34.080427,-118.152128,Alhambra,CA,91803
11220-104633,"Atlantic & Valley, Alhambra",34.077117,-118.134113,Alhambra,CA,91803
75476-103411,Barnes And Noble @ Cal State Univ L,34.068399,-118.169001,Los Angeles,CA,90032
55230-286642,Figueroa & Cypress,34.086461,-118.21944,Los Angeles,CA,90065
13045-153025,Health Science Campus - USC,34.060608,-118.205674,Los Angeles,CA,90033
51056-275764,Marengo & Cornwell,34.055688,-118.20455,Los Angeles,CA,90033
5348-860,Atlantic Square,34.039067,-118.143421,Monterey Park,CA,91754
9328-96241,"3rd & Gage, Los Angeles",34.033622,-118.184217,Los Angeles,CA,90063
76211-90561,Target North Hollywood T-294,34.188116,-118.371356,North Hollywood,CA,91606
13365-107349,Sherman Way & Whitsett,34.200935,-118.407993,North Hollywood,CA,91605
26769-244484,Lankershim & Erwin,34.181785,-118.384512,North Hollywood,CA,91606
53951-285949,Verdugo & Hollywood,34.160527,-118.344288,Burbank,CA,91505
51180-276893,Sherman Way & Woodman,34.20157,-118.43046,Los Angeles,CA,91405
29863-254896,San Fernando Mission & Sepulveda,34.272352,-118.467857,Mission Hills,CA,91345
5839-26187,Victory & Coldwater,34.186456,-118.413534,North Hollywood,CA,91606
49365-252145,Target LA Mission Hills T-3218,34.25761,-118.466828,Los Angeles,CA,91345
5642-1690,Lankershim & Magnolia,34.164768,-118.374289,North Hollywood,CA,91601
5654-2705,Oak Street & Pass Avenue,34.155709,-118.346967,Burbank,CA,91505
5833-24687,Devonshire & Langdon,34.257689,-118.469819,Mission Hills,CA,91345
9683-97622,Van Nuys & Michaels,34.214563,-118.448472,Panorama City,CA,91402
74836-98349,Vons-Burbank #3083,34.155106,-118.3457,Burbank,CA,91505
20895-192164,Laurel Canyon & Burbank,34.171631,-118.396805,Valley Village,CA,91607
23120-223787,Bon Appetit @ Disney Channel Buildi,34.152768,-118.341392,Burbank,CA,91505
75753-95299,Warner Bros Studio Plaza Lobby,34.151988,-118.336359,Burbank,CA,91505
75545-66180,Warner Brothers Studio,34.1505,-118.340065,Burbank,CA,91522
5211-513,Alameda & Evergreen,34.152513,-118.345785,Burbank,CA,91505
22417-220625,Lankershim & La Maida,34.158875,-118.371257,North Hollywood,CA,91601
9596-97295,Tujunga & Camarillo,34.157886,-118.378736,North Hollywood,CA,91602
6760-78102,Copper Hill & Newhall Ranch,34.444142,-118.574408,Santa Clarita,CA,91355
76363-97160,Target Valencia T-257,34.420486,-118.561716,Valencia,CA,91355
6584-65300,Westfield Valencia Town Cntr -Lvl 1,34.415519,-118.557063,Santa Clarita,CA,91355
10852-101663,Castaic Rd & Lake Hughes,34.495397,-118.621991,Castaic,CA,91384
6810-82121,Valencia & McBean,34.412895,-118.558992,Santa Clarita,CA,91355
9871-98346,Magic Mountain & Tourney,34.423702,-118.579263,Valencia,CA,91355
6902-85300,The Old Road & Rye Canyon,34.432797,-118.591035,Valencia,CA,91355
53767-257450,Ralphs Castaic #84,34.457592,-118.617347,Castaic,CA,91384
6693-75040,Valencia & The Old Road,34.40811,-118.579298,Santa Clarita,CA,91381
20139-197084,Hasley Canyon & Commerce Center,34.45102,-118.624665,Castaic,CA,91384
5308-314,The Old Road & Stevenson Ranch Pkwy,34.392124,-118.573157,Stevenson Ranch,CA,91381
74506-25650,Vons-Valencia #2030,34.391126,-118.572272,Valencia,CA,91355
5779-16456,Foothill & Wheeler,34.119187,-117.781306,La Verne,CA,91750
74658-94672,Vons-Claremont #2155,34.121464,-117.706665,Claremont,CA,91711
79737-104055,Vons - La Verne #2832,34.116526,-117.774863,LA VERNE,CA,91750
7972-95559,Foothill & D Street,34.113294,-117.76398,La Verne,CA,91750
76577-99296,Target La Verne T-226,34.109734,-117.759688,La Verne,CA,91750
9253-96095,Bonita & San Dimas,34.106478,-117.806452,San Dimas,CA,91773
73584-23068,Albertsons-San Dimas #0594,34.105981,-117.803409,San Dimas,CA,91773
29620-254406,Foothill & Lynoak,34.107322,-117.740195,Pomona,CA,91767
6564-65002,Foothill & Claremont,34.107494,-117.704287,Claremont,CA,91711
5229-444,Claremont Village,34.095718,-117.718104,Claremont,CA,91711
6981-85422,"Indian Hill & I-10, Claremont",34.081073,-117.719007,Claremont,CA,91711
27874-248944,Hillhurst and Avocado,34.111138,-118.287198,Los Angeles,CA,90027
24851-239027,Griffith Park & Hyperion,34.107656,-118.273118,Los Angeles,CA,90027
5683-4410,Glendale & Fletcher,34.104072,-118.259012,Los Angeles,CA,90039
5794-19180,Vermont & Prospect,34.10194,-118.291464,Los Angeles,CA,90027
75557-71180,Universal City Walk,34.13666,-118.352734,Universal City,CA,91608
11991-105620,Cahuenga & Barham,34.12959,-118.34854,Los Angeles,CA,90068
27774-238927,Universal Studios Hollywood - Upper,34.137983,-118.355134,Universal City,CA,91608
23352-223786,Universal Studios Hollywood Studio,34.140762,-118.356751,Universal City,CA,91608
5877-29275,Hollywood & Western,34.102031,-118.308946,Los Angeles,CA,90027
74664-94345,Vons-Los Angeles #2665,34.097044,-118.288006,Los Angeles,CA,90028
5379-98393,Sunset Blvd & St Andrews Place,34.098276,-118.311066,Hollywood,CA,90028
5734-8710,Ventura  Vineland,34.140479,-118.369491,Studio City,CA,91604
24933-239266,Western & Fountain,34.09465,-118.309501,Los Angeles,CA,90029
53657-285900,Sunset Blvd & Mohawk,34.077233,-118.264892,Los Angeles,CA,90026
5461-1452,Sunset & Gower,34.097346,-118.322498,Los Angeles,CA,90028
16980-167664,Hollywood & Vine,34.101461,-118.326497,Hollywood,CA,90028
22916-225624,Sunset & Vine,34.097837,-118.326437,Hollywood,CA,90028
5620-1957,Highland & Franklin,34.105349,-118.336826,Hollywood,CA,90068
74543-52099,Vons-Los Angeles #2261,34.069621,-118.290523,Los Angeles,CA,90020
50498-273104,Alvarado & 3rd,34.063045,-118.272333,Los Angeles,CA,90057
49345-258945,Ralphs Los Angeles #32,34.068519,-118.290445,Los Angeles,CA,90020
19883-190684,Cesar Chavez & Broadway,34.058795,-118.240347,Los Angeles,CA,90012
29377-252209,6th & Occidental,34.063792,-118.283948,Los Angeles,CA,90057
51529-252466,Target Express La K-Town,34.063693,-118.286061,Los Angeles,CA,90020
73529-53299,Albertsons-Calabasas #1335,34.144144,-118.700251,Calabasas,CA,91302
5858-27587,"Agoura & Las Virgenes, Calabasas",34.144153,-118.700297,Calabasas,CA,91302
5636-425,Calabasas Rd & Park Granada,34.155112,-118.643038,Calabasas,CA,91302
18869-179006,Mulholland & Calabasas,34.157863,-118.634772,Woodland Hills,CA,91364
635-352,Kanan & Thousand Oaks,34.155863,-118.756563,Agoura,CA,91301
74510-27669,Vons-Agoura Hills #2001,34.153341,-118.758626,Agoura Hills,CA,91301
563-505,Platt & Victory,34.188724,-118.6416,West Hills,CA,91307
10895-103501,Ventura & Shoup,34.168572,-118.615942,Woodland Hills,CA,91364
74573-80139,Pavilions-West Hills #2225,34.189144,-118.64134,West Hills,CA,91307
11603-104000,Topanga Canyon & Dumetz,34.157087,-118.605605,Woodland Hills,CA,91364
47263-244530,Ralphs West Hills #213,34.186871,-118.626513,West Hills,CA,91307
5759-5899,Fallbrook & Victory,34.186739,-118.624243,West Hills,CA,91307
585-305,Topanga Cyn & Ventura,34.169225,-118.605482,Woodland Hills,CA,91367
20788-208089,Target West Hills T-228,34.191251,-118.623365,West Hills,CA,91307
75653-88912,Marriott Warner Center Lobby,34.178498,-118.603603,Woodland Hills,CA,91367
9384-94268,Canoga & Oxnard,34.178939,-118.596746,Woodland Hills,CA,91367
21086-180308,Ventura & De Soto,34.166823,-118.588516,Woodland Hills,CA,91367
639-356,Westfield Topanga - Level 1,34.190959,-118.604526,Canoga Park,CA,91303
76329-95471,Target Woodland Hills T-288,34.167251,-118.584929,Woodland Hills,CA,91364
5485-1517,Victory & Canoga,34.187788,-118.599292,Woodland Hills,CA,91367
21573-205865,Target Westlake Village T-2810,34.147818,-118.793632,Westlake Village,CA,91362
76708-101561,Target Woodland Hills/TopangaT-2143,34.192709,-118.602546,Canoga Park,CA,91303
26928-245711,Topanga Canyon and Gault,34.199056,-118.605741,Canoga Park,CA,91303
561-503,PCH & Cross Creek,34.035196,-118.685088,Malibu,CA,90265
14014-108039,PCH & Webb Way,34.034241,-118.693557,Malibu,CA,90265
50504-265909,Pepperdine - PAYSON LIBRARY LS,34.034738,-118.704284,MALIBU,CA,90263
6473-25947,Canoga & Sherman Way,34.202822,-118.597434,Canoga Park,CA,91303
48887-262952,Ralphs Woodland Hills #70,34.17007,-118.57044,Woodland Hills,CA,91364
5487-1616,Winnetka & Ventura,34.170689,-118.569989,Woodland Hills,CA,91364
11779-106400,Ventura Blvd & Shirley,34.172928,-118.557069,Tarzana,CA,91356
49978-269944,Sherman Way & Winnetka,34.200782,-118.570522,Los Angeles,CA,91306
5959-45579,Tampa & Victory,34.187578,-118.553723,Reseda,CA,91335
74625-94036,Vons-Tarzana #2066,34.168978,-118.534406,Tarzana,CA,91356
16710-161344,DeSoto & Knapp,34.237248,-118.588931,Chatsworth,CA,91311
5318-332,Topanga Canyon & Lassen,34.250758,-118.606281,Chatsworth,CA,91311
20670-184967,Ralphs Encino #6,34.162721,-118.521351,Encino,CA,91316
